"species","prop_consumption_raw","prop_consumption_scaled","prop_consumer_bio_raw","prop_consumer_bio_scaled"
"arrowtooth flounder",0.0516279042438071,4.03834690321646,0.00337051956298215,0.166091814807974
"aurora rockfish",4.00998704833833e-06,0.000313662137090093,7.73756325220975e-05,0.00381290153858043
"bank rockfish",2.26825789125573e-05,0.00177423669719222,0.000437676947440212,0.0215677604421441
"big skate",0.00593706165580205,0.464398369507501,0.000913685312041421,0.0450244090872684
"black rockfish",0.00811818387563315,0.635006266361034,0.00113310471670411,0.0558369163116047
"blackgill rockfish",8.09407168343943e-06,0.000633120204974242,0.000156181032166886,0.00769625886646071
"blue rockfish",0.000350961063981642,0.027452257585099,0.000187708087763021,0.00924984304885929
"bocaccio",0.00819099568478618,0.64070162332579,0.00164562989850888,0.0810930336519898
"brown rockfish",0.0001418461084834,0.0110952362161002,7.58650018836215e-05,0.00373846097250135
"cabezon",0.00230969038130798,0.180664528908566,0.000239264118965038,0.0117904112392017
"California scorpionfish",0.00209246247707146,0.16367291076689,0.00247825136712792,0.122122794253249
"canary rockfish",0.000244244026210788,0.0191048256039905,0.000814125418329166,0.0401183157922256
"chilipepper",0.00984516612252155,0.770091226922224,0.00197796462731638,0.0974697605037148
"China rockfish",0.000159713007781346,0.0124927893127591,3.20874910572762e-05,0.00158120121327
"copper rockfish",0.000238270028211451,0.0186375380649396,0.000127436390975701,0.00627978596599672
"cowcod",7.08051765892206e-05,0.005538397690142,3.78694552338742e-05,0.0018661237319799
"curlfin sole",6.5972896862952e-08,5.16041562494141e-06,2.41978239828962e-06,0.000119241571651558
"darkblotched rockfish",3.65257515924731e-05,0.00285705294436411,0.000704791087538236,0.0347305596666347
"Dover sole",0.000731365075504891,0.0572075495034282,0.0268253240434,1.32189315917757
"English sole",8.47059813819395e-05,0.00662572193483331,0.0031068825612381,0.153100361338569
"flag rockfish",8.37780286353043e-05,0.00655313725111249,1.68316080322766e-05,0.000829424743567967
"flathead sole",2.81591632951624e-07,2.20261642527987e-05,1.03283395048947e-05,0.000508957927781041
"gopher rockfish",0.00055507400249008,0.043418019999924,0.000111518356196828,0.00549538010951202
"grass rockfish",4.73868162966704e-05,0.00370660799906285,2.53443745904841e-05,0.00124891521685225
"greenspotted rockfish",7.35556551470705e-05,0.00575354077466472,3.93405217523932e-05,0.00193861466496469
"greenstriped rockfish",0.000255498847002155,0.0199851803531284,0.000947007299831604,0.0466664435931248
"honeycomb rockfish",3.52937227016814e-05,0.00276068335259633,7.0907625327463e-06,0.000349417232396718
