"species","prop_consumption_raw","prop_consumption_scaled","prop_consumer_bio_raw","prop_consumer_bio_scaled"
"arrowtooth flounder",0.0516279042438071,4.03834690321646,0.00320530692511093,0.157950498212569
"black rockfish",0.00814075441317929,0.636771739155997,0.00121039003541209,0.0596453673834223
"canary rockfish",0.000233990507972793,0.0183027929778367,0.000779015646429343,0.0383881832048401
"Pacific spiny dogfish",0.0897911107055401,7.02348195545009,0.00655914395784585,0.323220234503396
"Dover sole",0.000766697728444938,0.0599712779884941,0.0270277560881507,1.33186856654716
"rex sole",6.36775330013608e-05,0.00498087171979977,0.00224477100479572,0.110617393861071
"English sole",3.24385808399888e-05,0.00253735347964699,0.00114353025744218,0.0563506641030604
"Pacific sanddab",1.90756262785888e-05,0.00149210000749341,0.000672457156397383,0.0331372144263215
"sand sole",4.16777256665808e-06,0.000326004157720446,0.000146923013051042,0.00724004398096784
"flathead sole",2.80929281978029e-06,0.000219743550026996,9.90336586326115e-05,0.00488016158399343
"starry flounder",1.36674801980619e-06,0.000106907353961082,4.81808289535548e-05,0.00237424562306001
"rock sole",4.68136507433021e-07,3.66177485366642e-05,1.6502826171823e-05,0.000813223094279703
"curlfin sole",3.43812955407116e-07,2.68931308386505e-05,1.21201515981237e-05,0.000597254499510761
"greenstriped rockfish",0.000201460354793063,0.015758276688077,0.000761970408958263,0.037548231270872
"lingcod",0.0275797988920195,2.15729840438525,0.00255144480452559,0.125729606384805
"cabezon",0.0019337998411041,0.151262281786307,0.000178898460314922,0.00881572392173502
"longspine thornyhead",0.000200822849391868,0.0157084108645382,0.00301484331752779,0.148564869187954
"California scorpionfish",0.00209246247707146,0.16367291076689,0.00247825136712792,0.122122794253249
"Pacific cod",0.00209246247707146,0.16367291076689,0.00247825136712792,0.122122794253249
"blue rockfish",0.000805165144864005,0.0629802084156731,0.000416181490458638,0.0205085114470017
"copper rockfish",0.000335592679246077,0.0262501388895342,0.000173464366070181,0.00854794367062501
"brown rockfish",0.000187740845972017,0.0146851334572481,9.70412909637274e-05,0.00478198207317733
"olive rockfish",9.90679195878825e-05,0.00774911614437287,5.12071774265456e-05,0.0025233774410862
"redstripe rockfish",8.34290973125655e-05,0.00652584376036836,4.31236328207263e-05,0.00212503808462395
"kelp greenling",7.50069372683739e-05,0.00586706040607533,3.87703058760225e-05,0.00191051567667253
"quillback rockfish",5.33634695700023e-05,0.0041741032342748,2.75830224934028e-05,0.00135923087767662
"greenspotted rockfish",3.54485027432582e-05,0.00277279028412369,1.8322962438604e-05,0.000902915419186425
"rosy rockfish",2.47846439581991e-05,0.00193866072314802,1.28109247261967e-05,0.000631294284866792
"grass rockfish",2.25841001313515e-05,0.0017665336635917,1.16734865055796e-05,0.000575243822982783
"treefish",2.18591856263651e-05,0.00170983067924269,1.12987857363464e-05,0.000556779390538775
"cowcod",9.87946390286506e-06,0.000772774007427575,5.10659215473263e-06,0.000251641666103629
"kelp rockfish",8.714391300343e-06,0.00068164175239358,4.50437824209232e-06,0.000221965884734023
"Pacific ocean perch",0.000148164688801449,0.0115894770657698,0.00091655906610088,0.0451660213871315
"petrale sole",0.00635238775017048,0.496885275020791,0.0022075211312618,0.108781801756943
"sablefish",0.0852501232836711,6.66828484332154,0.00807099000303405,0.397720693160694
"leopard shark",0.00414670240767592,0.324356044892274,0.000210745927232293,0.0103850972716001
"chilipepper",0.0069547321025143,0.544000792987015,0.00131387720159653,0.0647449880560584
"bocaccio",0.00556364160688014,0.435189364798703,0.00105107454282689,0.0517946491792857
"vermilion rockfish",0.00442425709623228,0.346066438397918,0.000835823788329641,0.0411875638960892
"gopher rockfish",0.00101781519822457,0.0796137459771067,0.000192284068555604,0.00947533735030581
"stripetail rockfish",0.000906406276736545,0.070899313739896,0.000171236867910067,0.00843817744468228
"silvergray rockfish",0.000816271460223182,0.0638489470347167,0.000154208738178919,0.00759906854263228
"starry rockfish",0.00041649651442366,0.0325784560473417,7.8683875493613e-05,0.00387736888413012
"China rockfish",0.000284365144951442,0.02224310901861,5.37218221166738e-05,0.00264729361851111
"rosethorn rockfish",0.00024529392671187,0.0191869490699598,4.63405481686783e-05,0.00228356062046476
"squarespot rockfish",0.000187943326101536,0.0147009715009569,3.5505961655627e-05,0.00174965594997695
"flag rockfish",9.64243392611565e-05,0.00754233466481827,1.82163366132308e-05,0.000897661132269913
"speckled rockfish",9.16910954892875e-05,0.00717209921543745,1.73221395413969e-05,0.000853597060935622
"honeycomb rockfish",3.73705178965078e-05,0.00292313076483364,7.05998027707293e-06,0.000347900350321674
"shortspine thornyhead",0.0129871583543172,1.01585860379041,0.0100646139787277,0.495962112022145
"longnose skate",0.0158156566956391,1.23710441426314,0.00243395370653984,0.119939902654094
"big skate",0.00414897301995268,0.324533652722584,0.000638507047452041,0.0314642274869812
"rougheye rockfish",3.76759511800339e-05,0.00294702182864367,0.000823023481589469,0.0405567928422957
"darkblotched rockfish",3.60034982283344e-05,0.0028162021624729,0.000786489087420495,0.0387564579927137
"redbanded rockfish",4.55626052624161e-06,0.000356391777971547,9.95305834062995e-05,0.0049046489474229
"blackgill rockfish",4.38855294238652e-06,0.00034327365102398,9.58670453872112e-05,0.00472411782548809
"aurora rockfish",3.74537214655586e-06,0.000292963896771993,8.181689187293e-05,0.00403175706272994
"bank rockfish",3.1946721797428e-06,0.000249888014879156,6.97869632367055e-05,0.00343894855298401
"sharpchin rockfish",2.48455139371119e-06,0.000194342198732176,5.42745192674472e-05,0.00267452932241248
"yellowmouth rockfish",2.36463896870241e-06,0.000184962620434661,5.16550567608478e-05,0.00254544795278601
"shortraker rockfish",1.05189259123413e-06,8.22792877329748e-05,2.29783794590557e-05,0.00113232416379274
"splitnose rockfish",1.98737064005316e-05,0.00155452602373738,0.00263891987306968,0.130040185989359
"widow rockfish",0.00342568034458022,0.267957528270275,0.00517664505317451,0.255093719360509
"yelloweye rockfish",0.00105772218585142,0.0827352800052656,7.60233556015841e-05,0.0037462642965606
"yellowtail rockfish",0.0154320103944282,1.20709550967719,0.00540865294110693,0.2665265594424
